##Most of the content here was/is originally made by the AGOT team.
kidnapped_me;Kidnapped Me;;;;;;;;;;;;x
obj_befriend_liege_title;Become a friend to your liege;;;;;;;;;;;;;x
obj_befriend_liege_desc;[This.GetTitledFirstName] desires to befriend their liege.;;;;;;;;;;;;;x
obj_five_children_title;Have many children;;;;;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] desires to have at least 5 children.;;;;;;;;;;;;;x
obj_win_the_war_title;Win the war;;;;;;;;;;;;;x
obj_win_the_war_desc;[This.GetTitledFirstName] desires to win the war.;;;;;;;;;;;;;x
ruthless;Ruthless;;;;;;;;;;;;;x
ruthless_desc;This character believes that the ends justify the means, and will stop at nothing to achieve [Root.GetHerHis] goals.;;;;;;;;;;;;;x
EVTDESCknight.1;Knights, Paladins and Hunters have the right to style themselves 'Sir or Dame'. You being one of the aforementioned ones, reserve the honour of styling yourself a more noble title.;;;;;;;;;;;;;x
title_prince_AGOT;Prince;Prince;;;;;;;;;;;;x
title_prince_AGOT_female;Princess;Princesse;;;;;;;;;;;;x
title_prince_AGOT_desc;Prince;Prince;;;;;;;;;;;;x
EVTDESC66113;I am of the Royal Blood and should be styled as such.;;;;;;;;;;;;;x
EVTOPTA66113;I am a Prince!;Je suis un Prince!;;;;;;;;;;;;x
EVTOPTB66113;I am a Princess!;Je suis une Princesse!;;;;;;;;;;;;x
EVTDESC1007030;[Root.PlotTarget.GetTitledFirstName] will soon be leaving the castle to go on a trip to the countryside with only a small guard. My co-conspirators have prepared an ambush and are only waiting for my signal to attack the carriage and abduct [Root.PlotTarget.GetHerHim].;;;;;;;;;;;;;x
EVTOPTA1007030;Send the signal!;Envoyer le signal !;;;;;;;;;;;;x
CUSTOMTOOLTIP33;The plot succeeds;;;;;;;;;;;;;x
CUSTOMTOOLTIP34;The plot fails, but is not discovered;;;;;;;;;;;;;x
CUSTOMTOOLTIP35;The plot fails and is discovered;;;;;;;;;;;;;x
EVTOPTB1007030;Wait for a better opportunity;;;;;;;;;;;;;x
EVTDESC1007031;As I was travelling through the countryside, a band of masked thugs on horses attacked my carriage. My guards fled or were cut down were they stood, and I found myself blindfolded, bound and thrown over the back of a horse. When my blindfold was removed, I was in the dungeons of [From.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTA1007031;I'll get [From.GetHerHim] for this!;;;;;;;;;;;;;x
EVTDESC1007032;We ambushed [From.GetTitledFirstName]'s carriage on a lonely stretch of road in the countryside. The guards scattered before us, and one of my men blindfolded and bound [From.GetTitledFirstName]. [From.GetSheHeCap] is now safely locked away in my dungeon, to do with as I please.;;;;;;;;;;;;;x
EVTOPTA1007032;Excellent!;Excellent !;;;;;;;;;;;;x
EVTDESC1007034;As I was travelling through the countryside, a band of masked thugs on horses attacked my carriage. After a brief skirmish my guards fought them off, but unfortunately failed to take any captives.;;;;;;;;;;;;;x
EVTOPTA1007034;Who could have sent them?!;;;;;;;;;;;;;x
EVTOPTA1007030;Send the signal!;;;;;;;;;;;;;x
EVTOPTB1007030;Wait for a better opportunity;;;;;;;;;;;;;x
EVTDESC1007031;As I was travelling through the countryside, a band of masked thugs on horses attacked my carriage. My guards fled or were cut down were they stood, and I found myself blindfolded, bound and thrown over the back of a horse. When my blindfold was removed, I was in the dungeons of [From.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTA1007031;I'll get [From.GetHerHim] for this!;;;;;;;;;;;;;x
EVTDESC1007032;We ambushed [From.GetTitledFirstName]'s carriage on a lonely stretch of road in the countryside. The guards scattered before us, and one of my men blindfolded and bound [From.GetTitledFirstName]. [From.GetSheHeCap] is now safely locked away in my dungeon, to do with as I please.;;;;;;;;;;;;;x
EVTOPTA1007032;Excellent!;Excellent!;;;;;;;;;;;;x
EVTDESC1007034;As I was travelling through the countryside, a band of masked thugs on horses attacked my carriage. After a brief skirmish my guards fought them off, but unfortunately failed to take any captives.;;;;;;;;;;;;;x
EVTOPTA1007034;Who could have sent them?!;;;;;;;;;;;;;x
EVTDESC1007035;We ambushed [From.GetTitledFirstName]'s carriage on a lonely stretch of road in the countryside. The guards put up a fierce resistance, and after a brief skirmish we were forced to retreat without accomplishing our objective.;;;;;;;;;;;;;x
EVTOPTA1007035;At least there are no clues to my involvement...;;;;;;;;;;;;x
EVTDESC1007037;As I was travelling through the countryside, a band of masked thugs on horses attacked my carriage. After a brief skirmish my guards fought them off, taking several of them prisoner. After a brief interrogation they revealed themselves to be working under orders from [From.GetTitledFirstName] to abduct me.;;;;;;;;;;;;;x
EVTOPTA1007037;[From.GetTitledFirstName] will pay for this!;;;;;;;;;;;;;x
EVTDESC1007038;We ambushed [From.GetTitledFirstName]'s carriage on a lonely stretch of road in the countryside. The guards put up a fierce resistance, and several of my men were captured before we could escape.;;;;;;;;;;;;;x
EVTOPTA1007038;[From.GetTitledFirstName] must know that I sent them...;;;;;;;;;;;;x

EVTDESCknight.2;Your son has proven himself to be a fine warrior. By being your son, he shall be a great knight!;;;;;;;;;;;;;x
EVTDESCknight.3;Your parent has decided you are worthy of a knighthood.;;;;;;;;;;;;;x
EVTDESCknight.4;Your daughter has proven herself to be a fine warrior, the equal to any male knight.;;;;;;;;;;;;;x
EVTDESCknight.5;After a brief inquiry, you found a knight willing to sire you... for a modest donation.;;;;;;;;;;;;;x
EVTDESCknight.6;My guardian knighted me!;;;;;;;;;;;;;x
EVTDESCknight.7;My liege knighted me!;;;;;;;;;;;;;x

