request_important_prisoners_desc;Any prisoners ranked above Castle Holders are transferred to your dungeons.;Tous les prisonniers dont le rang est plus élevEqu'un Maû‘re sont transférés dans vos cachots.;;;Cualquier prisionero con rango superior a Maestro es transferido a tu mazmorra.;;;;;;;;;;x
EVTTOOLTIPprisreq;Prisoner is moved to your dungeons.;Les prisonniers sont envoyés dans vos cachots.;;;Prisionero es movido a tus mazmorras.;;;;;;;;;;x
EVTDESC1100099998;I'm sending an emissary, we'll see if they surrender their castle;J'ai envoyEun émissaire, nous verrons s'ils livrent leur château;;;Envio un emisario, veremos si rinden el castillo.;;;;;;;;;x;x
EVTDESC1100099999;You are doomed, move out of your castle and you'll be unmolested;Vous êtes condamnés, évacuez votre château et aucun mal ne vous sera fait;;;Están malditos, salgan de su castillo y no serán molestados.;;;;;;;;;x;x
EVTDESC1100100000;We Accept your proposal and deliver you the castle;Nous acceptons votre proposition et vous livrons le château;;;Aceptamos su propuesta y le entregamos el castillo.;;;;;;;;;x;x
EVTDESC1100100001;Don't count on us acting as cowards, I will meet you on the walls;Ne comptez pas sur nous pour agir comme des lâches, je vous rencontrerai sur les murs;;;No cuente con nosotros actuando como cobardes, lo encontraremos en los muros.;;;;;;;;;x;x
EVTDESC110009995;[Root.PrimaryTitle.GetFOA], I am pleased to report I have captured some high value prisoners after our successful siege of [FromFrom.GetName]. I hereby turn them over to you for your judgement.\n\nYours Humbly\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], je suis heureux de vous apprendre que j'ai fais des prisonniers ayant une grande valeur après votre prise de [FromFrom.GetName]. Je vous les envoie devant vous pour que vous les jugiez.\n\nVotre humble serviteur\n[From.GetTitledFirstName];;;[Root.PrimaryTitle.GetFOA], me complace reportarle que capturEprisioneros de alto valor después de nuestro exitoso asedio a [FromFrom.GetName]. Por la presente, se los entrego para que los juzgue.\n\nYours Humbly\n[From.GetTitledFirstName];;;;;;;;;;x
EVTOP110009995;Send them to my dungeon!;Menez les dans mes cachots !;;;¡Mandarlos a mis mazmorras!;;;;;;;;;;x
EVTDESC110009997;[Root.PrimaryTitle.GetFOA], I grieve to report that [From.GetTitledFirstName]'s men have caused much damage to the castle and countryside after their siege of [FromFrom.GetName].;[Root.PrimaryTitle.GetFOA], c'est avec peine que je dois vous apprendre que les hommes de [From.GetTitledFirstName] ont gravement endommagEle château et ravagEles campagnes après leur siège de [FromFrom.GetName].;;;[Root.PrimaryTitle.GetFOA], le reporto que los hombres de [From.GetTitledFirstName] causaron mucho daño en el castillo y los campos después de su asedio en [FromFrom.GetName].;;;;;;;;;;x
EVTOP110009997;This is bad news;VoilEune bien mauvaise nouvelle.;;;Estas son malas noticias.;;;;;;;;;;x
EVTDESC110009998;After [From.GetHerHis] merciless siege of [FromFrom.GetName], [From.GetTitledFirstName] has taken me prisoner!;Après le siège sans pitiEde [FromFrom.GetName], [From.GetTitledFirstName] m'a fait prisonnier !;;;Después del misericordioso asedio de [From.GetHerHis] en [FromFrom.GetName], ¡[From.GetTitledFirstName] me tomEcomo prisionero!;;;;;;;;;;x
EVTOP110009998;Oh dear;Oh non !;;;¡Oh Dios!;;;;;;;;;;x
EVTDESC110009999;After [From.GetHerHis] heroic siege of [FromFrom.GetName], [From.GetTitledFirstName] has decided to release you from prison.;Après son siège héroEue de [FromFrom.GetName], [From.GetTitledFirstName] a décidEde vous libérer de prison. ;;;Después del heróico asedio de [From.GetHerHis] en [FromFrom.GetName], [From.GetTitledFirstName] decidiEliberarte de prisión.;;;;;;;;;;x
EVTOP110009999;Sweet freedom!;LibertE!;;;¡Dulce libertad!;;;;;;;;;;x
TOOLTIPmodifier_hidden;[This.GetFirstName] shall be taken into hiding\n;[This.GetFirstName] sera cachEe)\n;;;[This.GetFirstName] serEescondido\n;;;;;;;;;;x
EVTOPTWAYsiegepulseDRAGON;I'll just fly away;Je vais juste m'envoler.;;;Simplemente me irEvolando.;;;;;;;;;;x
TOOLTIPsiegepulseDRAGON;[Root.GetTitledFirstName] flys away on [Root.GetHerHis] Dragon to [This.GetName]\n;[Root.GetTitledFirstName] s'enfuit E[This.GetName] sur son dragon\n;;;[Root.GetTitledFirstName] vuela montado en su Dragón hacia [This.GetName]\n;;;;;;;;;;x

ransom_all;Ransom All Prisoners;Rançonner tous les Prisonniers.;Ransom All Prisoners;;Un rescate para todos los presos;;;;;;;;;x
ransom_all_desc;Make a ransom offer to all prisoners.;Faire une offre de rançon pour tous les prisonniers.;Make a ransom offer to all prisoners.;;Hacer una oferta de rescate para todos los presos.;;;;;;;;;x
ransom_all_tooltip;Character is asked to pay ransom.;Il est demandEau personnage de payer la rançon. ;Character is asked to pay ransom.;;Personaje pedirEque pague un rescate.;;;;;;;;;x
ransom.0.desc;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;[Root.Host.GetTitledFirstName] m'a offert de me libérer de prison contre le payement d'une rançon. ;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;;[Root.Host.GetTitledFirstName] se ofreciEa liberar de la cárcel si pago un rescate.;;;;;;;;;x
ransom.0.a;I will pay for my freedom, if I can afford it.;Je vais payer pour ma libertE;I will pay for my freedom.;;Voy a pagar por mi libertad, si me lo puedo permitir.;;;;;;;;;x
ransom.0.b;I will not pay.;Je ne paierai pas. ;I will not pay.;;No voy a pagar.;;;;;;;;;x
ransom.0.w;You have received a ransom request for one of your courtiers. It is a good deal...;Vous avez reçu une demande de rançon pour l'un de vos courtisans. C'est une bonne affaireE;;;Usted ha recibido una petición de rescate por uno de sus cortesanos. Es un buen negocio ...;;;;;;;;;x
ransom.0.w1;I will pay to get them back.;Je vais payer pour le faire revenir.;;;Voy a pagar para recuperarlos.;;;;;;;;;x
ransom.0.w2;I will not pay to get them back.;Je ne paierai pas pour le faire revenir. ;;;No voy a pagar para recuperarlos.;;;;;;;;;x
ransom.0.ww;The ransom has been denied!;La demande de rançon a étErejetée !;;;El rescate ha sido negado!;;;;;;;;;x
ransom.0.ww1;Well, let them rot...;Bien, laissez-le(a) pourrir...;;;Bueno, que se pudran ...;;;;;;;;;x
EVTDESCransom.3;Your prisoner [From.GetTitledFirstName] [From.GetOnlyDynastyName] has requested an audience with you. Upon meeting [From.GetHerHim] before the court you hear [From.GetSheHe] is offering to pay the ransom for [From.GetHerHis] release personally.;Votre prisonnier(e) [From.GetTitledFirstName] [From.GetOnlyDynastyName] a demandEune audience. Avant de le(a) recontrer devant la cour, vous apprenez qu'[From.GetSheHe] offre de payer sa propre rançon.;;;;;;;;;;;;x
EVTOPTAransom.3;No, you shall stay in my custody;Non, vous allez rester mon (a) prisonnier(e).;;;;;;;;;;;;x
EVTOPTBransom.3;I accept your offer;J'accepte l'offre.;;;;;;;;;;;;x
EVTDESCransom.4;Your [GetFromRelation] [From.GetTitledFirstName] is currently languishing in the prison of [From.Host.GetTitledFirstName]. Perhaps I should offer to pay the ransom to secure [From.GetHerHis] release?;Votre [GetFromRelation] [From.GetTitledFirstName] languit en ce moment dans les prisons de [From.Host.GetTitledFirstName]. Peut-être devriez-vous payer la rançon pour s'assurer de sa libération ?;;;;;;;;;;;;x
EVTOPTAransom.4;Yes, I will make the offer;Oui, je vais faire une offre.;;;;;;;;;;;;x
TOOLTIPransom.4ransom_10;[From.GetTitledFirstName]'s ransom is 10¤\n;La rançon de [From.GetTitledFirstName] s'élève E10¤\n;;;;;;;;;;;;x
TOOLTIPransom.4ransom_25;[From.GetTitledFirstName]'s ransom is 25¤\n;La rançon de [From.GetTitledFirstName] s'élève E25¤\n;;;;;;;;;;;;x
TOOLTIPransom.4ransom_46;[From.GetTitledFirstName]'s ransom is 46¤\n;La rançon de [From.GetTitledFirstName] s'élève E46¤\n;;;;;;;;;;;;x
TOOLTIPransom.4ransom_75;[From.GetTitledFirstName]'s ransom is 75¤\n;La rançon de [From.GetTitledFirstName] s'élève E75¤\n;;;;;;;;;;;;x
TOOLTIPransom.4ransom_110;[From.GetTitledFirstName]'s ransom is 110¤\n;La rançon de [From.GetTitledFirstName] s'élève E110¤\n;;;;;;;;;;;;x
EVTOPTBransom.4;I don't see why I should;Je ne vois pas pourquoi je devrais le faireE;;;;;;;;;;;x
EVTDESCransom.5;[Root.PrimaryTitle.GetFOA], I believe [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been to in your custody for too long, I hereby offer to pay the ransom to secure [FromFrom.GetHerHis] release. I trust you will accept this fair offer.\n\n Regards,\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], je pense que [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] est depuis trop longtemps votre prisonnier(e), aussi je me propose pour payer sa rançon et m'assurer de sa liébration. J'espère que vous allez accepter cette offre généreuse.\n\n Cordialement,\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];;;;;;;;;;;;x
EVTOPTAransom.5;No, [FromFrom.GetSheHe] shall stay in my custody;Non, [FromFrom.GetSheHe] reste oE[FromFrom.GetSheHe] est.;;;;;;;;;;;;x
EVTDESCransom.6;[Root.PrimaryTitle.GetFOA], I 'm afraid I cannot accept your ransom offer, the prisoner must remain in my custody for the foreseeable future.\n\n Regards,\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], j'ai bien peur de ne pouvoir accepter votre offre de rançon, le(a) prisonnier(e) doit rester sous ma garde.\n\n Cordialement,\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];;;;;;;;;;;;x
EVTOPTAransom.6;Perhaps I should try another method of release;Peut-être devrais-je essayer une autre méthode pour le(a) faire libérer.;;;;;;;;;;;;x
EVTDESCransom.7;[Root.PrimaryTitle.GetFOA], I find your ransom offer acceptable, once the gold has been received I will release the prisoner as soon as is possible.\n\n Regards,\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], je trouve votre offre parfaitement acceptable, lorsque vous m'aurez livrEl'intégralitEde la somme, je libérerai le(a) prisonnier(e) le plus rapidement possible.\n\n Cordialement,\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];;;;;;;;;;;;x
EVTOPTAransom.7;That is good;Une bonne nouvelle.;;;;;;;;;;;;x
TOOLTIPransom.5;will consider your ransom offer;va réfléchir Evotre offre de rançon.;;;;;;;;;;;;x
