FORWARD_INTO_THE_DARKNESS;Forward, into the darkness!;;;;;;;;;;;;x
random.6.b;For the glory of us all, men! Victory! We share the loot.;;;;;;;;;;;;x
random.2.c;Curse them! Hire another party of adventurers...;;;;;;;;;;;;x
WELCOME_MY_NEW_MINIONS_WELCOME;Welcome, my new minions - welcome!;;;;;;;;;;;;x
adventuring.6.a;That brat almost ruined our reputation...;;;;;;;;;;;;x
realmbattlemagic.4.c;I will cast a death plague on an enemy province!;;;;;;;;;;;;x
realmbattlemagic.4.b;I will cast a death plague on an enemy province!;;;;;;;;;;;;x
emperor.31.a;I shall make [Root.Religion.GetRandomGodName] proud!;;;;;;;;;;;;x
whitewitch.5.a;Insulting! I'll have to resort to charm magic...;;;;;;;;;;;;x
realmbattlemagic.4.a;I will cast a death plague on an enemy province!;;;;;;;;;;;;x
FALL_BACK_LEAVE_OUR_PACKS_BEHIND;Fall back! Leave our packs behind!;;;;;;;;;;;;x
THE_INSOLENCE_ILL_NEVER_FORGET_THIS;The insolence! I'll never forget this!;;;;;;;;;;;;x
SEND_THE_EVENT_TO_ALL_HUMAN_PLAYERS;Send the event to all human players;;;;;;;;;;;;x
succubus.11.b;I need to get a prisoner... or a consort.;;;;;;;;;;;;x
succubus.11.a;I need to get a prisoner... or a consort.;;;;;;;;;;;;x
RISE_MY_NEW_MINIONS_RISE;Rise, my new minions - rise!;;;;;;;;;;;;x
THE_GOBLINS_HAVE_THE_RIGHT_IDEA;The Goblins have the right idea!;;;;;;;;;;;;x
I_STILL_DONT_TRUST_HER;I still don't trust her...;;;;;;;;;;;;x
random.8.c;For the glory of us all, men! Victory! We share the loot.;;;;;;;;;;;;x
random.8.a;For the glory of us all, men! Victory! We share the loot.;;;;;;;;;;;;x
LET_THE_FOOL_GO_I_TIRE_OF_HIM;Let the fool go! I tire of him!;;;;;;;;;;;;x
random.8.b;For the glory of us all, men! Victory! We share the loot.;;;;;;;;;;;;x
realmspell.8.c;I will ward a province against enemy spells.;;;;;;;;;;;;x
realmspell.8.b;I will ward a province against enemy spells.;;;;;;;;;;;;x
realmspell.8.a;I will ward a province against enemy spells.;;;;;;;;;;;;x
WE_CAN_DISCUSS_IT_WHAT_IS_THE_OFFER;We can discuss it. What is the offer?;;;;;;;;;;;;x
random.12.b;A most excellent proposition. Throw him in the cells!;;;;;;;;;;;;x
YES_I_WILL_LEAD_THE_BRECHT_LEAGUE;Yes, I will lead the Brecht League.;;;;;;;;;;;;x
unification.6.a;I will swear fealty - Anuire must be strong again.;;;;;;;;;;;;x
unification.6.b;I will swear fealty - Anuire must be strong again.;;;;;;;;;;;;x
ILL_HEAR_WHAT_SHE_HAS_TO_SAY;I'll hear what she has to say...;;;;;;;;;;;;x
random.12.a;A most excellent proposition. Throw him in the cells!;;;;;;;;;;;;x
YES_PREPARE_TO_INVADE_VOSGAARD;Yes! Prepare to invade Vosgaard.;;;;;;;;;;;;x
whitewitch.12.a;There's too many to fight... surrender, men.;;;;;;;;;;;;x
random.3.a;Men, get in there! I'll stay and guard the horses.;;;;;;;;;;;;x
YES_AND_SEND_WORD_TO_ALL_OF_ANUIRE;Yes, and send word to all of Anuire!;;;;;;;;;;;;x
random.3.b;Men, get in there! I'll stay and guard the horses.;;;;;;;;;;;;x
HAH_MEN_YOU_ARE_AVENGED;Hah! Men - you are avenged!;;;;;;;;;;;;x
CAST_IT_WHERE_MY_SPYMASTER_IS_LOCATED;Cast it where my spymaster is located.;;;;;;;;;;;;x
priest.1.a;Of course, with such a large donation...;;;;;;;;;;;;x
priest.1.b;Of course, with such a large donation...;;;;;;;;;;;;x
realmbattlemagic.1.b;A great lightning storm to ravage the enemy army.;;;;;;;;;;;;x
realmbattlemagic.1.a;A great lightning storm to ravage the enemy army.;;;;;;;;;;;;x
prisoner.6.a;Hah, she should be honoured of bearing my child!;;;;;;;;;;;;x
POTION_OF_HEALING_/_TAKES_1_YEAR;Potion of Healing / Takes 1 year.;;;;;;;;;;;;x
RING_OF_COMMAND_/_TAKES_5_YEARS;Ring of Command / Takes 5 years.;;;;;;;;;;;;x
knight.101.a;That old fool thinks he can get rid of me this easy...;;;;;;;;;;;;x
I_WILL_CAST_AN_ALCHEMY_SPELL;I will cast an alchemy spell.;;;;;;;;;;;;x
HAELYN_GOD_OF_NOBLE_WAR;Haelyn, God of Noble War.;;;;;;;;;;;;x
STAND_FIRM_HOOOOLD_THE_LINE;Stand firm! Hoooold the line!;;;;;;;;;;;;x
I_WILL_CREATE_A_MAGIC_RING;I will create a magic ring.;;;;;;;;;;;;x
YES_ITS_TIME_TO_SETTLE_DOWN;Yes, it's time to settle down!;;;;;;;;;;;;x
NOW_MEN_INTO_THAT_BREACH;Now men - into that breach!;;;;;;;;;;;;x
UNIFICATION_WILL_HELP_US_ALL;Unification will help us all.;;;;;;;;;;;;x
adventurer.0.d;Sewers, they say? Better hire an adventurer from these parts...;;;;;;;;;;;;x
adventurer.0.c;Sewers, they say? Better hire an adventurer from these parts...;;;;;;;;;;;;x
BRING_HIM_TO_MY_CHAMBERS;Bring him to my chambers!;;;;;;;;;;;;x
DIRECT_BATTLE_DAMAGE_SPELLS;Direct battle damage spells.;;;;;;;;;;;;x
adventurer.0.b;Sewers, they say? Better hire an adventurer from these parts...;;;;;;;;;;;;x
TO_HELL_WITH_THEM_IM_GOING;To hell with them, I'm going!;;;;;;;;;;;;x
I_HOPE_ITS_NOT_THE_GORGONS_REALM;I hope it's not the Gorgon's realm!;;;;;;;;;;;;x
adventurer.0.a;Sewers, they say? Better hire an adventurer from these parts...;;;;;;;;;;;;x
RETREAT_THEYRE_TOO_POWERFUL;Retreat - they're too powerful!;;;;;;;;;;;;x
ASK_THIS_DUKE_TO_SUPPORT_CLAIM;Ask this Duke to support claim;;;;;;;;;;;;x
I_CAN_FEEL_THE_POWER_WITHIN_ME;I can feel the power within me!;;;;;;;;;;;;x
SHE_IS_USING_MAGIC_ON_ME_RUN;She is using magic on me! Run!;;;;;;;;;;;;x
A_+4_ENCHANTED_SWORD_/_TAKES_4_YEARS;A +4 Enchanted Sword / Takes 4 years.;;;;;;;;;;;;x
whitewitch.13.a;Time to leave, and never speak of this again!;;;;;;;;;;;;x
I_WILL_RAISE_SOME_ZOMBIES;I will raise some zombies.;;;;;;;;;;;;x
OF_COURSE_MAKE_OUR_FAMILY_PROUD;Of course! Make our family proud.;;;;;;;;;;;;x
realmpriestmagic.1.a;I will ward a province against enemy spells.;;;;;;;;;;;;x
realmpriestmagic.1.b;I will ward a province against enemy spells.;;;;;;;;;;;;x
realmpriestmagic.1.c;I will ward a province against enemy spells.;;;;;;;;;;;;x
random.4.c;Excellent job men! Now bring me the loot!;;;;;;;;;;;;x
AMULET_OF_PROTECTION_+1_/_TAKES_1_YEAR;Amulet of Protection +1 / Takes 1 year.;;;;;;;;;;;;x
random.4.a;Excellent job men! Now bring me the loot!;;;;;;;;;;;;x
random.4.b;Excellent job men! Now bring me the loot!;;;;;;;;;;;;x
whitewitch.3.b;Useless coward! I'll have to find someone else...;;;;;;;;;;;;x
YES_YES_I_VOW_TO_SERVE_THEIR_GOD;Yes yes, I vow to serve their god!;;;;;;;;;;;;x
whitewitch.3.a;Useless coward! I'll have to find someone else...;;;;;;;;;;;;x
priest.4.b;Of course, with such a large donation...;;;;;;;;;;;;x
priest.4.a;Of course, with such a large donation...;;;;;;;;;;;;x
priest.4.c;Of course, with such a large donation...;;;;;;;;;;;;x
realmbattlemagic.2.d;I have prepared a lightning storm spell!;;;;;;;;;;;;x
whitewitch.3.c;Useless coward! I'll have to find someone else...;;;;;;;;;;;;x
YOU_PASS_OUT_FROM_A_BLOW_TO_THE_HEAD;*you pass out from a blow to the head*;;;;;;;;;;;;x
WWHAT_SEIZE_THEM_CLOSE_THE_GATES;W-what? Seize them! Close the gates!;;;;;;;;;;;;x
realmbattlemagic.2.a;I have prepared a lightning storm spell!;;;;;;;;;;;;x
FINALY_ITS_TIME_TO_MEND_THE_SCHISM;Finaly, its time to mend the schism!;;;;;;;;;;;;x
UHHH_EH_SOMEONE_THERE;Uhhh... Eh.... Someone there?;;;;;;;;;;;;x
realmbattlemagic.2.c;I have prepared a lightning storm spell!;;;;;;;;;;;;x
realmbattlemagic.2.b;I have prepared a lightning storm spell!;;;;;;;;;;;;x
YES_I_WILL_GO_ADVENTURING;Yes, I will go adventuring.;;;;;;;;;;;;x
YES_PREPARE_TO_INVADE_ANUIRE;Yes! Prepare to invade Anuire.;;;;;;;;;;;;x
A_+1_ENCHANTED_SWORD_/_TAKES_1_YEAR;A +1 Enchanted Sword / Takes 1 year.;;;;;;;;;;;;x
knight.102.a;That old fool thinks he can get rid of me this easy...;;;;;;;;;;;;x
NEVER;Never!;;;;;;;;;;;;x
emperor.28.c;Yes! Prepare to invade Rjurik.;;;;;;;;;;;;x
emperor.28.b;Yes! Prepare to invade the Khinasi.;;;;;;;;;;;;x
emperor.20.b;Send this huge chest of gold...;;;;;;;;;;;;x
emperor.20.d;I don't have enough prestige...;;;;;;;;;;;;x
EVTTOOLTIPSIEGEESCAPED;EVTTOOLTIPsiegeescaped;;;;;;;;;;;;x
bloodtheft.0.b;Maybe later... if the ransom is not paid.;;;;;;;;;;;;x
I_WILL_RAISE_SOME_SKELETONS;I will raise some skeletons.;;;;;;;;;;;;x
SHOW_MORE_OPTIONS/LEAVE_MENU;Show more options/Leave Menu.;;;;;;;;;;;;x
ARREST_THEM_ALL_GUARDS;Arrest them all! GUARDS!;;;;;;;;;;;;x
MORE_OPTIONS_OR_CANCEL;More options, or cancel.;;;;;;;;;;;;x
random.6.b;A great victory, I won almost singlehanded. The loot is mine!;;;;;;;;;;;;x
A_NONHUMAN_PANTHEON;A non-human Pantheon.;;;;;;;;;;;;x
adventurer.18.b;No, wait, let's leave her alone.;;;;;;;;;;;;x
crafting.5.c;Elixir of Eternal Youth / Takes 10 years.;;;;;;;;;;;;x
crafting.5.b;Potion of Beauty / Takes 1 year.;;;;;;;;;;;;x
adventurer.33.b;Yes, hire anyone who wants the job.;;;;;;;;;;;;x
adventurer.33.c;I'm too far away. Have my chancellor hire someone nearby.;;;;;;;;;;;;x
ALRIGHT_MEN_THIS_IS_IT;Alright men, this is it!;;;;;;;;;;;;x
adventurer.33.d;No, I don't trust adventurers.;;;;;;;;;;;;x
realmbattlemagic.4.b;I will cast a death plague on an entire enemy region!;;;;;;;;;;;;x
SHOW_MORE_OPTIONS;Show more options.;;;;;;;;;;;;x
SERA_GODDESS_OF_COMMERCE;Sera, Goddess of Commerce.;;;;;;;;;;;;x
realmspell.0.b;I will cast a summoning spell.;;;;;;;;;;;;x
courtmage.0.b;I will tell him what spells to focus on.;;;;;;;;;;;;x
sorcerycollege.3.b;I think I'd rather continue my studies;;;;;;;;;;;;x
TRAIN_AS_A_FIGHTER_INSTEAD;Train as a fighter instead.;;;;;;;;;;;;x
emperor.29.b;Yes! Prepare to invade the Brecht.;;;;;;;;;;;;x
adventuring.14.b;No, I will continue to adventure!;;;;;;;;;;;;x
NEVER_LIKED_HIM_MUCH_ANYWAYS;Never liked him much anyways!;;;;;;;;;;;;x
MORE_OPTIONS;More options.;;;;;;;;;;;;x
emperor.21.b;Funny Duke. For that, I'll kill him last...;;;;;;;;;;;;x
random.8.c;Victory! Now we can return the stolen goods to the peasants!;;;;;;;;;;;;x
ARRRRRGH;Arrrrrgh...;;;;;;;;;;;;x
random.8.b;I almost took them down single-handedly! The loot is mine!;;;;;;;;;;;;x
adventurer.23.b;I won't run from these scum! Chaaarge!;;;;;;;;;;;;x
realmspell.8.b;I will ward a region against enemy spells.;;;;;;;;;;;;x
random.16.c;Put a price on their heads. 20 gold bars!;;;;;;;;;;;;x
realmspell.0.c;I will cast province ward/dispel magic.;;;;;;;;;;;;x
unification.6.b;I will never bend the knee to this fool!;;;;;;;;;;;;x
GREAT;Great!;;;;;;;;;;;;x
TRAIN_AS_A_RANGER_INSTEAD;Train as a ranger instead.;;;;;;;;;;;;x
succubus.7.c;No, not now. I'll resist the hunger.;;;;;;;;;;;;x
NO_BUT_ILL_KEEP_THE_MONEY;No. But I'll keep the money!;;;;;;;;;;;;x
RUORNIL_GOD_OF_MAGIC;Ruornil, God of Magic.;;;;;;;;;;;;x
ILL_WORSHIP_THE_LAMIA;I'll worship the Lamia!;;;;;;;;;;;;x
THEY_WIN_THIS_ROUND;They win.. this round...;;;;;;;;;;;;x
IN_DUE_TIME;In due time...;;;;;;;;;;;;x
NO_I_DONT_WANT_THE_THRONE;No, I don't want the throne.;;;;;;;;;;;;x
ONE_OF_THE_EVIL_GODS;One of the Evil Gods.;;;;;;;;;;;;x
CAST_AT_IT_A_RANDOM_REGION;Cast at it a random region.;;;;;;;;;;;;x
crafting.4.c;Amulet of Protection +5 / Takes 5 years.;;;;;;;;;;;;x
crafting.4.b;Amulet of Protection +3 / Takes 3 years.;;;;;;;;;;;;x
adventurer.11.c;Bah - I'm too busy for this nonsense!;;;;;;;;;;;;x
adventurer.11.b;Hire someone new, don't care from where.;;;;;;;;;;;;x
adventurer.34.d;No, I won't ever do mercenary work.;;;;;;;;;;;;x
realmbattlemagic.5.b;Cast at it a random enemy province.;;;;;;;;;;;;x
whitewitch.4.b;The only way to defeat a female adversary, is to seduce her!;;;;;;;;;;;;x
emperor.9.c;Hah! Give this brave fool to my daughter...;;;;;;;;;;;;x
realmbattlemagic.12.c;Summon my court mage - we must dispel it!;;;;;;;;;;;;x
NOOOO_SET_ME_FREE;Noooo, set me free!;;;;;;;;;;;;x
NOT_INTERESTED;Not interested...;;;;;;;;;;;;x
I_WILL_CREATE_AN_AMULET;I will create an amulet.;;;;;;;;;;;;x
random.13.b;I'll get out... and when I do...;;;;;;;;;;;;x
realmspell.1.b;Yes, prepare the greater alchemy spell.;;;;;;;;;;;;x
LETS_TRY_AGAIN;Let's try again!;;;;;;;;;;;;x
I_WILL_TRAIN_AS_A_PRIEST;I will train as a priest.;;;;;;;;;;;;x
emperor.18.b;Close menu or try to find another Duke.;;;;;;;;;;;;x
random.0.c;Ignore them, and they'll go away!;;;;;;;;;;;;x
CLOSE_MENU;Close Menu.;;;;;;;;;;;;x
priest.0.b;Contact anyone who might help!;;;;;;;;;;;;x
LEAVE_HIM_BE;Leave him be.;;;;;;;;;;;;x
NO_ITS_BUT_A_FLESH_WOUND;No, its but a flesh wound...;;;;;;;;;;;;x
AVANI_GODDESS_OF_THE_SUN;Avani, Goddess of the Sun.;;;;;;;;;;;;x
I_WILL_DISPEL_IT;I will dispel it!;;;;;;;;;;;;x
UNACCEPTABLE;Unacceptable!;;;;;;;;;;;;x
NO_TROLLS_ARE_TOO_DANGEROUS;No, trolls are too dangerous.;;;;;;;;;;;;x
realmbattlemagic.11.b;Cast at it a random enemy province.;;;;;;;;;;;;x
adventurer.3.b;No, that is too much. Show them the door.;;;;;;;;;;;;x
adventurer.29.b;I won't run from goblins! Stand and fight!;;;;;;;;;;;;x
emperor.23.b;No. He is unworthy of the throne!;;;;;;;;;;;;x
I_WILL_TRANSFER_200_REGENCY;I will transfer 200 regency;;;;;;;;;;;;x
NO_I_WILL_BECOME_A_LEGEND;No, I will become a legend!;;;;;;;;;;;;x
I_WILL_TRAIN_AS_A_MAGE;I will train as a mage.;;;;;;;;;;;;x
unification.24.b;I will never bend the knee to this fool!;;;;;;;;;;;;x
emperor.0.b;No, I care not for the throne.;;;;;;;;;;;;x
NO_I_FORBID_IT;No, I forbid it!;;;;;;;;;;;;x
SHE_CANT_HAVE_THIS_ONE;She can't have this one...;;;;;;;;;;;;x
succubus.5.b;How boring. I'll have to make him fear me.;;;;;;;;;;;;x
realmpriestmagic.4.c;I will raise some undead cavalry.;;;;;;;;;;;;x
realmpriestmagic.4.d;I will summon some lesser daemons.;;;;;;;;;;;;x
random.1.b;The bandit treasury was my tax revenue - hand it over!;;;;;;;;;;;;x
random.1.c;Want to stay and court my daughter, strapping young hero?;;;;;;;;;;;;x
emperor.19.b;No, he is unworthy of the throne!;;;;;;;;;;;;x
crafting.6.c;Ring of Speed / Takes 3 years.;;;;;;;;;;;;x
adventurer.17.b;No, witches do not interest me.;;;;;;;;;;;;x
crafting.6.b;Ring of Invisibility / Takes 1 year.;;;;;;;;;;;;x
BAH_ANUIRE;Bah. Anuire...;;;;;;;;;;;;x
unification.12.b;I will never bend the knee to this fool!;;;;;;;;;;;;x
THE_DUNGEON_IT_IS;The dungeon it is!;;;;;;;;;;;;x
adventuring.11.c;Yes, it's time to settle down.;;;;;;;;;;;;x
realmbattlemagic.10.b;Cast at it a random enemy province.;;;;;;;;;;;;x
adventurer.2.c;Have my chancellor hire someone nearby.;;;;;;;;;;;;x
adventurer.2.b;Hire anyone, don't care from where.;;;;;;;;;;;;x
I_SAID_IT_WAS_TOO_DANGEROUS;I said it was too dangerous!;;;;;;;;;;;;x
TRAIN_AS_A_ROGUE_INSTEAD;Train as a rogue instead.;;;;;;;;;;;;x
religion.4.b;I will embrace the Gheallie Sidhe!;;;;;;;;;;;;x
religion.4.c;The Elves have the right idea!;;;;;;;;;;;;x
religion.4.d;The Dwarves have the right idea!;;;;;;;;;;;;x
DUEL_TITLE;duel_title;;;;;;;;;;;;x
DO_NOT_WARN_ME_OF_THIS_AGAIN;Do not warn me of this again.;;;;;;;;;;;;x
realmspell.3.d;I will summon some lesser daemons.;;;;;;;;;;;;x
realmspell.3.c;I will raise some undead cavalry.;;;;;;;;;;;;x
TRAIN_AS_A_PRIEST_INSTEAD;Train as a priest instead.;;;;;;;;;;;;x
FOR_THAT_RULER_I_THINK_NOT;For that ruler? I think not!;;;;;;;;;;;;x
random.2.b;If you want something done, do it yourself! Saddle my horse!;;;;;;;;;;;;x
KRIESHA_GODDESS_OF_WINTER;Kriesha, Goddess of Winter.;;;;;;;;;;;;x
random.2.c;To hell with it. Leave them alone.;;;;;;;;;;;;x
I_LIKE_THE_SERPENTS_STYLE;I like the Serpent's style...;;;;;;;;;;;;x
adventurer.14.b;No, wait, let's not do this...;;;;;;;;;;;;x
YES_BUT_I_WONT_DRAIN_HIM;Yes, but I won't drain him.;;;;;;;;;;;;x
realmbattlemagic.8.c;I will cast an epic subversion spell.;;;;;;;;;;;;x
realmbattlemagic.8.b;I will cast a powerful subversion spell.;;;;;;;;;;;;x
realmbattlemagic.0.b;Province subversion and damage spells.;;;;;;;;;;;;x
emperor.2.c;Hah! Give this brave fool to my daughter...;;;;;;;;;;;;x
FINE_WAR_IT_IS_THEN;Fine... war it is then.;;;;;;;;;;;;x
NO_IM_NO_FOOL_I_WONT_GO;No, I'm no fool! I won't go.;;;;;;;;;;;;x
adventuring.10.b;Don't bother me with this type of news again.;;;;;;;;;;;;x
adventurer.1.b;No, killing undead is disgusting work...;;;;;;;;;;;;x
emperor.25.c;I need to accelerate my plans then...;;;;;;;;;;;;x
SHOW_MORE_GODS_OF_GOOD;Show more Gods of Good.;;;;;;;;;;;;x
TRAIN_AS_A_BARD_INSTEAD;Train as a bard instead.;;;;;;;;;;;;x
NO_NOT_NOW;No, not now.;;;;;;;;;;;;x
succubus.3.d;I dare not move against her...;;;;;;;;;;;;x
succubus.3.c;I will attempt to secure his release!;;;;;;;;;;;;x
I_DONT_HAVE_ENOUGH_GOLD;I don't have enough gold...;;;;;;;;;;;;x
whitewitch.0.b;Never mind, or try to find another Duke.;;;;;;;;;;;;x
realmbattlemagic.9.b;Cast at it a random enemy province.;;;;;;;;;;;;x
I_WILL_TRAIN_AS_A_FIGHTER;I will train as a fighter.;;;;;;;;;;;;x
I_WILL_TRAIN_AS_A_ROGUE;I will train as a rogue.;;;;;;;;;;;;x
CURSES_*FLEE_TO_SAFETY*;Curses! *flee to safety*;;;;;;;;;;;;x
courtmage.1.e;Never mind/I don't have enough gold or regency to transfer.;;;;;;;;;;;;x
adventuring.13.b;Don't bother me with this type of news again.;;;;;;;;;;;;x
legendary.1.b;No, wait, let's not do this...;;;;;;;;;;;;x
I_FORGIVE_HIS_CRUDE_MANNER;I forgive his crude manner...;;;;;;;;;;;;x
TRANSFER_RINGS;Transfer Rings.;;;;;;;;;;;;x
adventurer.0.d;Bah - I'm too busy for this nonsense!;;;;;;;;;;;;x
adventurer.0.c;I'm too far away. Have my chancellor hire someone nearby.;;;;;;;;;;;;x
adventurer.0.b;Sewers, they say? Hire anyone, don't care from where.;;;;;;;;;;;;x
SHOW_MORE_OPTIONS/CLOSE_MENU;Show more options/Close menu;;;;;;;;;;;;x
I_WILL_TRAIN_AS_A_BARD;I will train as a bard.;;;;;;;;;;;;x
realmpriestmagic.1.b;I will ward a region against enemy spells.;;;;;;;;;;;;x
random.4.c;Bribe your men to tell tales of your own heroism in the fight.;;;;;;;;;;;;x
NOTSHOWN;NotShown;;;;;;;;;;;;x
HIS_LOSS_NOT_MINE;His loss, not mine.;;;;;;;;;;;;x
random.4.b;Excellent job men! You can keep the loot.;;;;;;;;;;;;x
I_WILL_BLESS_A_REGION;I will bless a region.;;;;;;;;;;;;x
crafting.3.c;A Holy Avenger Sword / Takes 5 years.;;;;;;;;;;;;x
crafting.3.b;A +5 Enchanted Sword / Takes 5 years.;;;;;;;;;;;;x
adventurer.35.b;I want them to assassinate my enemies.;;;;;;;;;;;;x
adventurer.35.c;I want them to steal from my enemies.;;;;;;;;;;;;x
adventurer.35.d;I want them as a special forces unit.;;;;;;;;;;;;x
whitewitch.7.b;I can't resist her, and don't want to anymore!;;;;;;;;;;;;x
realmbattlemagic.6.b;Cast at it a random enemy province.;;;;;;;;;;;;x
AZRAI_GOD_OF_DARKNESS;Azrai, God of Darkness.;;;;;;;;;;;;x
NO_SUFFER_FOR_YOUR_SINS;No. Suffer for your sins!;;;;;;;;;;;;x
HMMPF;Hmmpf.;;;;;;;;;;;;x
I_WILL_TRANSFER_500_REGENCY;I will transfer 500 regency;;;;;;;;;;;;x
courtmage.2.b;Ward my realm against magical attack.;;;;;;;;;;;;x
ACCEPT_MY_FATE;Accept my fate...;;;;;;;;;;;;x
ARCANE_REALM_MAGIC;Arcane Realm Magic;;;;;;;;;;;;x
ASSASSINATIONS;Assassinations;;;;;;;;;;;;x
AT_LAST;At last!;;;;;;;;;;;;x
AVANIL;Avanil;;;;;;;;;;;;x
A_NEW_LAHMIA;A New Lahmia;;;;;;;;;;;;x
A_NEW_SERPENT;A New Serpent;;;;;;;;;;;;x
A_NEW_SUCCUBUS;A New Succubus;;;;;;;;;;;;x
A_RJURIK_KING_OR_DUKE;A Rjurik King or Duke...;;;;;;;;;;;;x
BANDITS;Bandits;;;;;;;;;;;;x
BASTARDS;Bastards!;;;;;;;;;;;;x
BECOMING_EMPEROR;Becoming Emperor;;;;;;;;;;;;x
BEGIN;BEGIN!;;;;;;;;;;;;x
BELINIK_GOD_OF_STRIFE;Belinik, God of Strife.;;;;;;;;;;;;x
BETTER_THAN_NOTHING;Better than nothing!;;;;;;;;;;;;x
BLOODTHEFT;Bloodtheft;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND;Time of Change;;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND_DESC;The year is 1524 of Haelyn's Count - in Anuire the Prince of Avanil, The Archduke of Boeruine, and The Grand Baron of Ghoere are finally on the move staking their claims to the Anuirean Empire first founded by Roele Andu. The Awnsheighleen are putting in motion their long wrought plans of conquest.;;;;;;;;;;;;;x
BOERUINE;Boeruine;;;;;;;;;;;;x
BRIGAND_AMBUSH;Brigand Ambush;;;;;;;;;;;;x
BROSENGAE;Brosengae;;;;;;;;;;;;x
BURN;Burn!;;;;;;;;;;;;x
CAST_AT_IT_A_RANDOM_PROVINCE;Cast at it a random province.;;;;;;;;;;;;x
CAUGHT;Caught!;;;;;;;;;;;;x
CHARGE;Charge!;;;;;;;;;;;;x
CHAR_DIPLOMACY;Negotiation: §Y[GetLearning]§W;;;;;;;;;;;;;x
CHAR_LEARNING;Bloodline Strength: §Y[GetLearning]§W;;;;;;;;;;;;;x
CH_DIPLOMACY_CHANGE;Negotiation $DIRECTION$ by $CHANGE$;;;;;;;;;;;;;x
CH_LEARNING_CHANGE;Bloodline Power $DIRECTION$ by $CHANGE$;;;;;;;;;;;;;x
CH_PIETY_CHANGE;Regency $DIRECTION$ by $CHANGE$;;;;;;;;;;;;;x
clerics;Clerics;;;;;;;;;;;;;x
clerics_desc;Priest units offer a strong defensive edge to any army formation.;;;;;;;;;;;;;x
COURT_MAGE;Court Mage;;;;;;;;;;;;x
crafting.2.b;A +2 Enchanted Sword / Takes 2 years.;;;;;;;;;;;;x
crafting.2.c;A +3 Enchanted Sword / Takes 3 years.;;;;;;;;;;;;x
CRAFTING_MENU;Crafting Menu;;;;;;;;;;;;x
CRAFTING_MENU_AMULETS;Crafting Menu - Amulets;;;;;;;;;;;;x
CRAFTING_MENU_POTIONS;Crafting Menu - Potions;;;;;;;;;;;;x
CRAFTING_MENU_RINGS;Crafting Menu - Rings;;;;;;;;;;;;x
CRAFTING_MENU_SWORDS;Crafting Menu - Swords;;;;;;;;;;;;x
CURSE_THEM;Curse them!;;;;;;;;;;;;x
